	Ar	Gata3	Klf5	Klf7	Maz	Mecom	Nfe2	Pou2f2	Prdm16	Stat1	Zfp148
Bmp4	0	0	0	0	-1.0	0	0	0	0	0	0
Bmp7	0	0	0	0	0	0	0	1.0	0	0	0
Bri3bp	0	0	0	0	0	0	0	1.0	0	0	0
Bsn	0	0	-1.0	-1.0	0	0	0	-1.0	0	0	0
Bst2	0	0	0	-1.0	0	0	0	-1.0	0	0	0
Btbd11	0	-1.0	0	0	0	0	0	0	0	0	0
Btbd19	0	0	0	0	0	0	1.0	0	0	0	0
Btf3l4	0	1.0	0	0	0	0	0	1.0	0	0	0
Btla	1.0	1.0	0	0	0	1.0	1.0	0	0	0	0
Bzw2	0	1.0	0	0	0	0	1.0	0	0	0	0
C030034l19rik	1.0	0	0	0	0	0	1.0	0	0	0	0
C2	1.0	0	0	0	0	0	0	0	0	0	0
C2cd2	0	0	0	0	0	0	0	0	0	0	-1.0
Cacna1a	0	0	0	0	0	0	1.0	0	0	0	0
Cacna1d	0	1.0	0	0	0	0	1.0	0	0	0	0
Calca	1.0	0	0	0	0	0	0	0	0	0	0
Calcrl	0	1.0	0	0	0	0	0	0	0	0	0
Calm1	0	0	0	0	-1.0	0	0	0	0	0	-1.0
Camk2d	1.0	1.0	0	0	0	0	1.0	1.0	0	0	0
Camk2g	1.0	1.0	0	0	0	1.0	1.0	1.0	0	0	0
Camkk1	0	0	0	0	0	0	0	1.0	0	0	0
Car8	0	0	0	0	0	1.0	1.0	0	0	0	0
Card10	0	0	-1.0	-1.0	0	0	0	0	0	0	0
Casc4	0	0	0	0	0	0	0	1.0	0	0	0
Cask	0	1.0	0	0	0	0	0	1.0	0	0	0
Casp3	0	0	0	0	0	-1.0	0	0	0	0	0
Cass4	0	1.0	0	0	0	1.0	0	1.0	0	0	0
Cblb	0	-1.0	0	0	0	-1.0	0	0	-1.0	-1.0	0
Cbx7	0	0	0	0	0	0	1.0	0	0	0	0
Ccdc11	0	0	0	0	0	0	1.0	0	0	0	0
Ccdc114	0	0	-1.0	-1.0	-1.0	0	0	0	0	0	0
Ccdc150	0	0	0	0	0	0	1.0	0	0	0	0
Ccdc162	0	-1.0	0	0	-1.0	0	0	-1.0	0	0	0
Ccdc22	0	0	0	0	0	0	0	1.0	0	0	0
Ccdc25	0	0	-1.0	0	0	0	0	0	0	0	0
Ccdc53	1.0	0	0	0	0	0	0	0	0	0	0
Ccdc64	0	0	0	-1.0	0	0	0	-1.0	0	-1.0	0
Ccl1	0	1.0	0	0	0	0	0	0	0	0	0
Ccl17	0	-1.0	0	0	0	-1.0	0	0	-1.0	0	0
Ccl5	0	0	0	0	0	0	0	-1.0	0	0	0
Ccnd2	0	1.0	0	0	0	1.0	0	1.0	0	0	0
Ccnd3	0	0	0	0	-1.0	0	0	0	0	-1.0	-1.0
Ccr7	0	0	0	0	0	0	0	0	0	-1.0	0
Ccr8	1.0	1.0	0	0	0	0	0	1.0	0	0	0
Ccr9	0	0	0	0	0	0	1.0	0	0	0	0
Ccrl2	0	0	0	0	0	1.0	0	0	0	0	0
