Regulator	Target	Weight
Mef2c	Ndst1	1.0
Mef2c	Nfatc1	1.0
Rorc	Odc1	1.0
Rorc	Ostf1	1.0
Tcf7	Parvb	1.0
Mef2c	Pdgfc	1.0
Mef2c	Pex13	1.0
Mef2c	Pfkfb3	1.0
Mef2c	Phlpp1	1.0
Mef2c	Pi4k2a	1.0
Rorc	Plb1	1.0
Tcf7	Plb1	1.0
Mef2c	Plekhg1	1.0
Tcf7	Plekhg1	1.0
Rorc	Plekhm3	1.0
Hoxa3	Plxdc2	-1.0
Hoxa5	Plxdc2	-1.0
Nkx6-2	Plxdc2	-1.0
Mef2c	Plxna2	1.0
Mef2c	Ppap2a	1.0
Nkx6-2	Ppp3ca	-1.0
Rorc	Prelid2	1.0
Tcf7	Prickle1	1.0
Mef2c	Ptprm	1.0
Rorc	Ptprm	1.0
Rorc	Rasa2	1.0
Mef2c	Rell1	1.0
Rorc	Rell1	1.0
Rorc	Rfx3	1.0
Mef2c	Rnf150	1.0
Rorc	Rnf150	1.0
Rorc	Rprd1b	1.0
Tcf7	S1pr3	1.0
Rorc	Serinc2	1.0
Rorc	Serpine2	1.0
Mef2c	Sestd1	1.0
Mef2c	Slc15a3	1.0
Rorc	Slc22a15	1.0
Tcf7	Slc23a2	1.0
Mef2c	Slc41a3	1.0
Rorc	Slc6a7	1.0
Tcf7	Slc6a7	1.0
Rorc	Slc7a14	1.0
Mef2c	Smad1	1.0
Tcf7	Smyd2	1.0
Hoxa5	Sntb1	-1.0
Rorc	Sntb1	-1.0
Mef2c	Snx13	1.0
Rorc	Snx13	1.0
Rorc	Srgap1	1.0
Mef2c	St3gal3	1.0
Hoxa3	St8sia4	-1.0
Rorc	St8sia4	-1.0
Hoxa3	Stk17b	-1.0
Hoxa5	Stk17b	-1.0
Nkx6-2	Stk17b	-1.0
Rorc	Syne1	-1.0
Mef2c	Tgm3	1.0
Rorc	Tifa	1.0
Rorc	Tmem194b	1.0
Mef2c	Tssk6	1.0
Rorc	Ttc39b	-1.0
Rorc	Ubash3b	-1.0
Rorc	Ust	1.0
Mef2c	Vps37c	1.0
Rorc	Wdr37	1.0
Tcf7	Whrn	1.0
Mef2c	Xkrx	1.0
Rorc	Xkrx	1.0
Tcf7	Xkrx	1.0
Mef2c	Zbed4	1.0
