	IL17pos_SC_EAE_1	IL17pos_SC_EAE_2	IL17neg_SC_EAE	IL17pos_SI_SS	IL17pos_SI_mock	IL17pos_SI_EAE	IL17neg_SI_EAE	IL17neg_SI_SS	IL17neg_SI_mock
Rgs8	7.332873995	52.41256527	14.63575493	0	0.295874546	0	1.334524052	0	4.359845588
Rgs9	22.0230385	49.79339653	47.68108252	327.2585792	307.8450044	258.0500378	347.0732538	612.0739011	468.0906589
Rgs9bp	0.605738586	0	0.218576193	6.793144898	3.128445486	1.076458644	4.468376327	0.941758186	3.615612755
Rgsl1	0	0	0	1.271687536	3.302415131	4.869940307	1.27674356	0	0
Rhag	0	0	0	0	2.224424699	6.888568413	2.00662632	0	0
Rhbdd1	4211.666733	3334.604082	3191.923821	2460.03555	2041.266409	2692.43379	2260.344657	2711.532084	2672.751481
Rhbdd2	52.61328301	42.65878231	60.06197091	62.51828536	47.75873428	50.57452274	76.88010368	43.87416796	95.28414955
Rhbdd3	665.0000104	562.3325686	564.2308123	417.0218587	278.4739245	311.4129396	272.1419155	314.3595188	442.5277928
Rhbdf1	11.17647076	144.697572	0	350.0880982	259.7529884	193.651744	182.2488846	247.613156	312.7106252
Rhbdf2	3529.61544	2286.407147	1732.460126	1424.290041	825.6037826	969.1181211	651.1392155	754.1173952	891.4658284
Rhbdl1	16.37718755	16.73915528	40.1229679	11.99985128	22.25866323	42.50703568	41.16249921	12.06097441	25.08170251
Rhbdl2	0	0	0	3.803568309	0	5.826321353	6.364484467	7.645884764	0
Rhbdl3	1.412264424	6.856521529	13.75933363	45.05651619	21.88167817	38.11662331	29.19755823	47.34447403	39.90941337
Rhbg	0	0	1.506026551	0	0	0	0.810206861	0	0
Rhcg	0	0	0	5.906146899	0	0	0	0.742028848	0
Rhd	18.44782063	3.791063643	0.950965246	1.019141927	9.074007228	3.512532903	1.02319387	3.072999259	5.898953405
Rheb	1621.183457	2100.017457	1725.631165	2378.888992	2943.383332	3457.907358	3370.166504	2468.497271	2426.034113
Rhebl1	72.36603576	30.75668368	23.73885215	55.96962786	45.30271045	73.06917855	43.42120994	67.76136482	30.67812399
Rhno1	1203.210136	1094.334037	1282.900221	825.5247884	1029.017135	1276.038056	889.0838096	1161.62162	1059.906503
Rho	2.466007455	0	0	0.476817329	0	1.643379115	0.957426155	0	0.459982255
Rhoa	5655.315235	5688.375089	4655.86054	3894.466316	4779.399328	3432.753577	3496.075381	3846.463248	4067.826889
Rhob	174.3870705	185.5663519	396.3061194	638.1164742	320.7806201	596.9886411	310.2404677	393.4552158	679.7517376
Rhobtb1	6.717171823	0	0	1737.801695	797.9168679	734.1312034	86.06197329	563.9419247	330.7783502
Rhobtb2	108.3119879	47.45569544	125.7830151	65.77800337	79.1165483	135.211365	161.9893307	94.87075009	132.3176635
Rhobtb3	1.346971866	0.581291306	2.041387418	15.62670526	6.956677609	16.87562057	4.392873662	12.87916792	8.743482824
Rhoc	2216.666702	4942.493917	9758.382708	6771.971628	4960.961396	4037.721619	6971.019836	9649.672934	10006.04509
Rhod	20.87443979	5.362173351	48.42246804	3.459598379	6.417249133	10.59885364	23.15568788	75.33977507	33.37449722
Rhof	697.5828388	832.2923765	766.5738395	685.4492745	896.6912348	788.3076682	704.0777021	648.4147935	899.4917573
Rhog	3097.721568	2754.042777	2851.046473	5186.808345	5913.935754	3499.036699	4136.285504	4322.476544	5307.500878
Rhoh	688.8649302	696.3400476	895.2064729	620.9253692	642.2398458	714.4241704	699.600557	782.9242124	791.3671961
Rhoj	0	2.434126529	0.610585828	159.6638397	81.56601238	115.771575	36.78985118	68.40008077	66.28192132
Rhoq	222.311988	284.4074891	314.3583806	63.63579552	62.49111601	49.8855797	57.49992102	64.71240426	66.44455943
Rhot1	10597.48875	8504.671371	10959.27957	9462.206932	9715.433883	9324.668169	10843.80863	8873.072543	9060.154948
Rhot2	398.8105476	360.7734394	436.8506761	386.8442085	390.7857904	427.382354	439.1367355	305.9706276	445.8086419
Rhou	0	0.8523419	1.282828675	22.91328894	1.020051006	4.211840265	4.600877693	13.3574008	4.420857071
Rhov	0	2.597919594	0	0	7.254551041	0	0.934891683	0	4.491558769
Rhox1	0	0	0	0	7.788008471	0	0	0	0
Rhox10	0	0	0	0	0	2.332445094	0	0	0
Rhox11	0	0	0	0	0	0	0	0	0
Rhox12	0	0	0	0	0	0	0	0	0
Rhox13	0	0	0	0	0	0	0	0	0
Rhox2a	0	0	0	0	0	0	0	0	0
Rhox2b	0	0	0	0	0	0	0	0	0
Rhox2c	0	0	0	0	0	0	0	0	0
Rhox2d	0	0	0	0	2.160070274	0	0	0	0
Rhox2e	0	0	0	0	0	0	0	0	0
Rhox2f	0	0	0	0	0	0	0	0	0
Rhox2g	0	0	0	0	0	0	0	0	0
Rhox2h	0	0	0	0	0	0	0	0	0
Rhox3a	0	0	0	0	0	0	0	0	0
Rhox3c	0	0	0	0	0	0	0	0	0
Rhox3e	0	0	0	0	0	0	0	0	0
Rhox3f	0	0	0	0	0	0	0	0	0
Rhox3g	0	0	0	0	0	0	0	0	0
Rhox3h	0	0	0	0	0	0	0	0	0
Rhox4a	0	0	0	0	0	0	0	0	0
Rhox4b	0	0	0	0	0	0	0	0	0
Rhox4c	0	0	0	0	0	0	0	0	0
Rhox4d	0	0	0	0	4.5250484	0	0	0	0
Rhox4e	0	0	0	0	0	0	0	0	0
Rhox4f	1.431646955	0	0	0	0	0	0	0	0
Rhox4g	0	0	0	0	0	0	0	0	0
Rhox5	0	0	0	0	0	0	0	0	0
Rhox6	0	0	0	0	0	0	0	0	0
Rhox7	0	0	0	4.708995556	0	0	0	0	0
Rhox8	1.102819254	0	0	0	0	0	0	0	0
Rhox9	0	0	0	0	0	0	0	0	0
Rhpn1	0	0	0	57.1474399	0	0	0	0	0
Rhpn2	24.7513816	7.510472986	11.72239568	12.11412727	8.488906587	13.91735194	19.36957468	27.05740552	17.3132024
Rian	2.601285316	1.202780879	1.206841059	55.61456641	12.95498978	27.73648036	3.02984315	21.23251588	17.46775864
Ribc1	56.52058522	52.40402881	11.47220226	86.06267841	52.45270247	75.33209123	28.80161656	42.22075167	17.79086744
Ribc2	0	0	0	0.934007795	0	0	0	0	0
Ric3	0	1.985014821	0	0.266813224	0.593897931	3.065291841	1.339370153	6.972479269	2.059142419
Ric8	506.0903349	378.1953335	416.8368817	601.694936	602.5154562	482.1487109	408.8161279	528.4460856	537.3057832
