	IL17pos_SC_EAE_1	IL17pos_SC_EAE_2	IL17neg_SC_EAE	IL17pos_SI_EAE	IL17pos_SI_SS	IL17pos_SI_mock	IL17neg_SI_EAE	IL17neg_SI_mock	IL17neg_SI_SS
Clec4a1	5.167877154	5.953953826	5.631068848	6.186418956	7.110441872	6.484134369	6.023873728	6.66211921	6.103192866
Clec4a2	5.063947529	4.811952535	5.499977964	6.131735501	6.478920328	5.994919567	5.416419987	6.053429286	5.996843146
Clec4a3	4.811952535	5.629725612	6.317784107	5.980758053	5.874823819	5.786493931	4.811952535	5.558576792	6.103192866
Clec4a4	4.811952535	4.811952535	4.811952535	6.186418956	5.808862656	5.659813768	5.525127282	5.511307862	5.939019034
Clec4b1	4.811952535	4.811952535	4.811952535	4.811952535	5.083320301	5.507478679	4.811952535	5.342807073	5.196131989
Clec4b2	4.811952535	4.811952535	4.811952535	5.390651692	5.4152391	4.811952535	5.083857635	5.272328185	5.084008515
Clec4d	6.467671851	7.435042226	6.692434098	6.335624719	6.676523911	5.930542931	5.700962481	6.150424879	6.768895612
Clec4e	7.372313961	8.011093488	7.678495461	5.672995984	7.461872346	6.812379781	5.195919549	6.775516595	6.941251054
Clec4f	4.811952535	4.811952535	4.811952535	4.811952535	5.083320301	5.098188012	4.811952535	4.811952535	4.811952535
Clec4g	4.811952535	5.181575855	4.811952535	4.811952535	5.352324212	5.306121106	4.811952535	4.811952535	4.811952535
Clec4n	6.543094075	6.942427956	6.850195244	7.064792848	7.6711142	7.421084497	6.151783787	6.904317221	6.783011767
Clec5a	6.1866625	6.809642151	6.373971551	5.222516691	6.048461373	5.507478679	5.281527788	5.558576792	5.908727902
Clec7a	8.750420594	8.846960419	8.976823637	8.260586938	9.453172026	8.938227817	6.940243182	8.373701597	9.201674793
Clec9a	4.811952535	5.264034016	5.264790217	7.176159382	7.634679562	7.247314839	6.243932309	7.04364291	6.552385779
Clgn	5.560474969	7.292962371	6.392102229	5.102753323	5.936296104	6.336348916	5.083857635	5.558576792	6.266542407
Clhc1	5.372612311	6.256388649	6.10666358	5.760865651	6.048461373	6.084176081	5.353384952	5.683917171	5.416751558
Clic1	11.7125389	11.81105267	11.27158168	10.29025793	10.19091364	10.5357372	10.21957469	10.01308082	10.16174439
Clic3	6.30042721	5.073672081	5.928200587	5.457895318	5.906071487	5.216092193	5.876843815	5.974016992	5.996843146
Clic4	11.91131739	11.63469758	10.74162505	10.52372487	11.70445208	10.8468891	10.00296801	10.59081774	10.66761778
Clic5	4.811952535	4.811952535	5.590049196	6.508200107	7.320941579	6.217604549	5.810767067	6.632077381	6.077639029
