	Dmrta1	E2f7	Ebf1	Egr2	Egr3	Elk3	Foxk1	Ikzf1	Klf8	Maz	Mlx	Mzf1	Nfyb	Nr3c1	Pparg	Runx2	Tfap4	Tfeb	Zbtb14	Zbtb7b	Zfp143
Cdkn2d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0
Cenpi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0
Cenpm	0	0	0	1.5	1.5	0	0	0	0	0	0	0	1.5	0	0	0	1.5	0	0	1.5	0
Chd3	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	-1.5	0
Chst15	0	0	0	-0.5	0	0	0	0	1.5	-0.5	0	0	0	0	0	0	0	0	-0.5	-0.5	-0.5
Chsy1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0
Cirbp	0	0	0	0	0	0	0	0	0	-1.5	0	0	-1.5	0	0	0	0	0	0	0	-1.5
Cisd3	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0
Cish	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0
Cmtm6	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	1.5	0	0
Cmtm7	0	0	0	0	0	0	0	0	0	1.5	0	1.5	0	0	0	0	1.5	0	1.5	1.5	0
Cmtm8	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	-1.5	0
Cnnm2	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	-1.5	0
Cnnm4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0
Cntln	1.0	0	0	0	0	0	0	0	0	-0.5	0	0	0	1.5	0	-0.5	0	0	-0.5	-0.5	-0.5
Coasy	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0
Col23a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	-1.5
Commd5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5
Copz2	0	0	0	-1.5	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coro1a	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	1.5	0	1.5	0
Crim1	0	0	1.5	0	0	0	0	0	0	-0.5	0	0	0	1.5	0	0	0	0	0	-0.5	-0.5
Crip1	0	0	0	0	0	1.5	0	1.5	0	1.5	0	0	1.5	0	0	0	0	0	1.5	0	1.5
Cryba4	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0
Csrp2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5
Cstb	0	0	0	-1.5	-1.5	0	0	0	0	0	-0.5	0	0	0	0	0	0	-0.5	0	-1.5	-1.5
Cul7	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	-0.5	0	0	0
Cul9	0	0	0.5	0	0	0	0	0	0	-1.5	0	-1.5	0	0	0	0	0	0	0	0	-1.5
Cutc	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cx3cr1	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0
Cyba	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	1.5	0	0	0
Cyp39a1	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	-0.5
D030056l22rik	0	0	0	-1.5	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0
Daxx	0	0	0	0	0	1.5	0	0	0	0.5	0	0	1.5	0	0	0	0	0	0	0.5	0
Dcbld2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5
Dclk2	0	0	0	-0.5	-0.5	0	0	0	0	-0.5	0	0	0	1.5	0	-0.5	0	0	-0.5	-0.5	0
Dcps	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	1.5	0	0	0	0
Dleu2	0	0	0	-0.5	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	-0.5	-0.5	-0.5	0
Dock4	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0
Dot1l	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5
Dtx4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0
Dusp2	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dusp7	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	1.5	0	1.5	1.5
E2f8	0	0.5	0	1.5	0	0	0	0	0	1.5	0	0	1.5	0	0	0	0	0	0	1.5	0
Echs1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0
Efcab4a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0
Efna1	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5
Efnb1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0
Elovl5	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	-1.5
Emp3	0	0	0	1.5	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5
Enpp4	0	0	0	0	0	-0.5	0	0	0	-0.5	0	0	-0.5	0	0	0	0	0	0	-0.5	-0.5
