	SFB_v_GF_CD11b-CD103-	SFB_v_GF_CD11b-CD103+	SFB_v_GF_CD11b+CD103-	SFB_v_GF_CD11b+CD103+	SFB_v_GF_Monocyte	SFB_v_GF_Macrophage
Arhgap20	0.00377628864562	-0.146388623594	0.00872426470855	0.389831999568	0.461443981637	0.127212161769
Arhgap20os	-0.118465897585	-0.115360619899	-0.111356691831	-0.119149323914	-0.113254649881	-0.117862441059
Arhgap21	-0.311664668583	-0.0329742929191	0.601924068946	0.194577394571	0.128349981087	-0.0802878371995
Arhgap22	-0.274903949791	-1.28924548412	-0.218062896812	-0.312456800823	-0.683858125156	-0.395122967892
Arhgap23	0.833751184918	-0.591368113542	-0.293339622069	-0.301488074118	1.03712331608	-0.204689847248
Arhgap24	1.12303664153	-0.476176878383	-0.0594428661544	0.0456272092284	0.532647106467	0.583417275571
Arhgap25	0.0945060827722	0.0238455132232	-0.0144170904032	0.159086475645	-0.202102328683	-0.451127909934
Arhgap26	0.0741645063642	-0.239251134743	0.322177007822	-0.120057933178	0.0771222722832	0.487746717794
Arhgap27	-0.464034313447	-0.0347245055132	-0.838431019231	-0.471677545854	-0.627909747275	-0.389454922395
Arhgap27os3	0.122372043472	0.254301819732	-0.646246437971	-0.0513011294754	-0.204313743727	-0.33524731512
Arhgap28	0.510945674987	-0.280407824715	-0.126224262719	0.127635338537	-1.40952900567	0.836812594895
Arhgap29	1.14168754709	0.105190235986	0.190603432608	0.822616149191	0.511957284057	1.50359419326
Arhgap30	-0.364103305899	-0.221098900843	-0.174573931645	-0.316975011726	0.0647921620309	-0.481429492079
Arhgap31	0.104663072885	0.346220187124	-0.198565429226	-0.160851508496	0.16495207773	-0.0163620237197
Arhgap32	0.260470894726	0.0230065017643	0.184497099665	0.00262491351686	0.773112427395	0.338590619095
Arhgap33	-0.71703798349	-1.08654600256	-0.145820880372	-0.124426269223	-0.612447946961	-1.45793693559
Arhgap33os	0.11760960594	0.117874783997	0.117674455955	0.117936973982	0.118031641676	0.117496027692
Arhgap35	-0.0436142722941	0.226719031962	0.197316391307	0.0201652142204	-0.238703606814	-0.145125691611
Arhgap36	-0.0137215846394	-0.0126637962715	-0.00867760955854	-0.0148404171617	-0.0105415190925	-0.0178590648597
Arhgap39	-0.659019427011	-0.90408344043	-0.660589700642	-0.548469405493	-0.75720513292	-0.916152785944
Arhgap4	-0.684992955822	-0.406378439073	-0.439476537887	-0.13998659913	-0.665689667412	-0.769132018171
Arhgap40	0.101357807186	0.102092873058	0.102980582326	0.102265779568	0.102534620423	0.100239076523
Arhgap42	0.877243884035	0.780590836328	-0.704479074634	-0.454656384565	-1.57175122474	0.385071644889
Arhgap44	0.875372083217	1.09503962668	0.877376204843	1.00035874688	0.819742457947	1.76952373155
Arhgap5	0.461926717928	0.467341814765	0.248410884228	0.442525993438	-0.0391623558527	0.31883838967
Arhgap6	-0.248105950667	0.377460627682	0.067789166847	0.237875292266	0.237332584244	-0.19057962528
Arhgap8	-0.818532576699	-0.647473996949	0.207541945375	-0.162272307553	-0.807472415344	-0.460613078916
Arhgap9	-0.550376988511	-0.0375851785274	-0.386778197015	-0.396215659537	-0.440280914149	-0.542352500586
Arhgdia	0.103721593954	0.227021094226	0.139298832367	0.200166089613	0.172265403441	-0.0626838888588
Arhgdib	-0.00114176884101	-0.125132426726	0.0551221754483	0.0904990218751	0.094849926022	-0.128462188549
Arhgdig	1.20572514263	0.924078098395	1.44262471817	1.01524482368	1.22528637951	0.864093491908
Arhgef1	-0.0721225516138	-0.138518316375	-0.0425380008104	0.176104760638	0.28060190736	-0.202511980848
Arhgef10	-0.141908436822	-0.727145569205	0.191675862558	0.382035266958	-1.01102910098	0.0652631156946
Arhgef10l	0.376113577363	-0.24456622625	-0.771481541031	-0.473240343398	0.555043407241	0.128714541876
Arhgef11	-0.669404322238	0.0351167006051	-0.440965623531	-0.241860376527	0.286438599855	-0.090281635482
Arhgef12	-0.00783729586731	0.697373369561	-0.934327299789	-0.21202621977	-0.575523803796	-0.131891419832
