	LI_v_SI_GF_CD11b-CD103-	LI_v_SI_GF_CD11b-CD103+	LI_v_SI_GF_CD11b+CD103-	LI_v_SI_GF_CD11b+CD103+	LI_v_SI_GF_Monocyte	LI_v_SI_GF_Macrophage	LI_v_SI_SPF_CCR6-ILC3	LI_v_SI_SPF_CCR6+ILC3	LI_v_SI_SPF_ILC2
Aaed1	-0.311007285688325	-0.322411562665376	-0.367579426190172	-0.150195829669695	-0.160713324892442	-0.0834366436898267	-0.691414277354075	0.0286527771715326	0.0774853221715202
Aagab	0.226042878772057	-0.233891212456221	-1.1372985645934	-0.708117365246967	-0.701519488809712	-0.631989943712773	0.282838855088089	-0.276673287753397	0.416827868847716
Aak1	-0.275624365702547	-0.32188688977811	-0.577160588754944	-0.523559067486669	-0.0832186245748462	-0.377770680653222	-0.0341635667260713	-0.0118471609968135	-0.0311388305467541
Aamdc	-0.0398334365619608	-0.241536696658098	-0.684232387654008	-0.262393137507122	-1.29876379263951	-0.358553494439554	0.200632101838556	0.341069116788914	0.4034900071592
Aamp	-0.279379231045668	0.210428940426733	0.817480403942036	0.590128780280938	0.608866540170443	0.310324642161028	-0.0124462890695967	0.136698063771585	0.031482248241959
Aanat	0.736648302402416	1.78752933902226	1.25983993502048	2.30666552115973	0.741894999912447	1.44896392037624	0.449009215147996	0.136348963642494	0.0409249616648034
Aar2	0.333489736811998	0.419388375551365	1.33827822292567	1.35777599540431	0.832288790283304	0.468135550281104	0.215400058020639	-0.163002050690625	0.267653450128843
Aard	0.483903606741679	1.09569508476236	0.0265191038232757	0.614246825562024	0.835323187802006	0.57433991405302	-0.228199260883534	0.0578949077378747	-0.00998365176442672
Aars	-0.0869574896341691	-0.31793267859713	0.23927714799432	0.689557785733529	0.330546253548547	0.0622938682881371	-0.604613470616834	-0.651137560303778	-0.98457039051169
Aars2	-0.0730761207190156	0.142314832157455	0.00250058274672989	-0.358141553748941	-1.16096362873613	-0.0518175065858283	-0.385413162005908	0.323998797907003	-0.125221954402714
Aarsd1	-0.610560765780792	-0.304816588660678	-0.527590852326667	-0.390001206658766	-0.831367003917077	-0.517473389023275	0.436551485470505	0.432721476803148	0.303522278947608
Aasdh	0.149369903192476	-0.443898488826962	-0.406665013258433	0.0733682918390363	0.158521823478912	0.202294043008827	0.432203106311963	0.0949686214673899	0.208845825429015
Aasdhppt	0.15565559099903	0.441576106073716	0.158108672514228	0.258776423301931	0.813267160555571	0.170254579642	-0.672046256256702	0.163263869032935	0.163354002941576
Aass	-0.0304151133209596	-0.0304713198421853	0.0197671865485365	-0.0296636012910534	-0.0299466880734643	0.192159913182871	0.0726532185710695	0.0773800468566273	-0.700540185529076
Aatf	-0.627908982889769	-0.318553992422383	-0.236519439891977	-0.560869598477064	-0.267349276432133	-0.445561139412871	-0.0354539567235307	-0.756563876687454	-0.264138172728352
Aatk	0.424754244545906	0.282275151088699	-0.653196427547602	0.648920433549565	-0.360374846498177	0.238432825885124	-0.239366288664823	0.670606394137185	-0.757339224079713
Abat	0.382190184880294	0.0468456673104797	-0.0429762386050891	0.772617520739404	0.404767764466541	0.535916806901893	0.238228746588864	1.17102252896707	0.736609006054415
Abca1	2.02656002018464	3.52615958839555	2.9515458418281	2.31835406501508	1.31928414746067	1.86804623622707	1.37222839036069	-0.96786580130122	-0.319232997918343
Abca12	0.0578603965480418	0.0415587960847653	0.0295952887531195	0.0296184361535784	0.22298363220295	0.0863308656323869	-0.325099916402346	-0.127000761316122	0.504893781171524
Abca13	-0.78433755261847	-0.945174920343392	-1.05013851295561	-1.61581323737691	-0.0089117738474585	-0.50580044949918	-0.497734137006377	-1.54440394596737	-0.122286206751403
