	Hh_v_GF_CD11b-CD103-	Hh_v_GF_CD11b-CD103+	Hh_v_GF_CD11b+CD103-	Hh_v_GF_CD11b+CD103+	Hh_v_GF_Monocyte	Hh_v_GF_Macrophage
Abcb6	-0.248993425518	-0.446153377442	0.314350407458	0.137078801326	-0.381227001893	0.203287752248
Abcb7	0.147307431169	-0.0365330311802	0.116092797548	-0.452186241313	-0.464092943919	-0.194249078603
Abcb8	0.0865564557215	0.0226941881764	-0.555025351422	0.430306416072	0.487863143526	0.312591304083
Abcb9	0.527718085615	-0.430517935214	0.692982054615	-0.690437878207	0.759190249587	0.382969855711
Abcc1	-0.156430457648	-0.0587769145715	0.15095477674	-0.19970096095	0.393247882153	0.18367906854
Abcc10	0.328191134419	0.267373093418	0.437576899497	-1.34354218508	-0.216724175824	0.224185081662
Abcc12	0.000336786560082	0.000579661141401	0.000168447549119	9.58860547916e-05	-0.000182927674644	0.000634991350721
Abcc2	0.624360497464	0.114628876293	0.141424441535	-0.104551127025	-0.741684261351	0.116162319919
Abcc3	-1.46566671607	0.667375570019	0.612687949248	-0.409476199552	0.536581848145	-0.0337308345851
Abcc4	-0.323662157235	-0.00477280505477	-0.0921792993642	0.168862597302	0.387030162885	-0.125429486246
Abcc5	-0.687769949864	-0.0870362565415	-0.453339884649	-0.585629059654	0.206534600708	-0.156709651412
Abcc6	0.000104799367922	0.000200549686333	0.0248929261532	3.3967313476e-05	-0.226102359975	-0.183836733535
Abcc8	-0.0354977385754	-0.37022923507	0.253856368431	0.0156891471775	0.271565809152	-0.0463921457514
Abcc9	-1.62115090213	0.857176488366	0.642069291059	-0.206247902206	1.14541011677	-0.283565464213
Abcd1	-0.146886236534	0.0417678019089	-0.219012654279	-0.0129157917789	0.0152108965124	0.432226735325
Abcd2	0.50330448642	-0.991623235768	0.185729166158	-0.262823329569	-0.342219671002	0.768294814232
Abcd3	-0.30202584534	0.0706234283289	-0.224618634604	0.347215266187	-0.12145661093	0.109256931199
Abcd4	-0.196527313377	0.14677055776	0.584881361901	1.52198699022	0.0837792714428	0.0326475423002
Abce1	-0.0835407218042	0.0294663859815	0.0959691583725	-0.00517126717726	-0.265070569304	-0.152904402282
Abcf1	0.0548860247106	0.00164788511042	-0.3432471266	0.251767582897	-0.0671952981353	0.112082934565
Abcf2	0.164154789609	0.111280925085	-0.375490091641	0.0717575731946	0.198852507883	0.270971965334
Abcf3	-0.10781533811	-0.0167927420461	0.00263963446198	0.320738602934	-0.229773506035	-0.184211779591
Abcg1	-0.601355812748	-0.495994595686	-0.0389664024731	-0.396710141439	-0.396858485951	0.0906771143607
Abcg2	-0.177412502266	0.0792246993444	0.893246570314	-0.212780284988	-0.0446638855701	0.070010483743
Abcg3	-0.100081161737	-0.23947073224	-0.0225592608334	-0.53778300729	0.0454552075651	0.0269463529667
Abcg4	0.631911871344	0.80466189868	0.00500767969235	-0.183766045851	0.554522465114	0.509543644626
Abcg5	3.10299191896e-05	7.37611363613e-05	2.94920094588e-05	1.0958305004e-05	-1.96652101819e-05	5.33997052662e-05
Abcg8	0.00140100645691	0.13877269721	0.151915050632	0.0891355437955	-0.000851622675645	-0.121503242446
Abhd1	0.457262278088	-0.395440712778	-0.0881526160464	-0.0118181549458	-0.00283654796389	0.0588681242396
Abhd10	-0.290191675948	0.313811036235	0.456062768657	0.112377036803	0.359167826527	0.196250480415
Abhd11	-0.226268961914	-0.289378147061	0.581268307097	0.169445993723	-0.731316010616	0.5033912508
Abhd11os	0.421935486625	0.248837906584	0.00839730526129	0.642182193458	-0.1359400816	0.102127934269
Abhd12	0.150608627505	0.427798502358	0.42005838046	0.412481414875	0.320730768515	0.483646213074
Abhd12b	0.049295559429	0.000250571746026	8.47907900429e-05	-0.12437720431	-0.0987954232485	0.0297951069396
Abhd13	-0.187340996509	0.0521482618826	0.041096592139	0.243743031947	-0.304183271917	-0.0597279278686
