	LI_v_SI_GF_CD11b-CD103-	LI_v_SI_GF_CD11b-CD103+	LI_v_SI_GF_CD11b+CD103-	LI_v_SI_GF_CD11b+CD103+	LI_v_SI_GF_Monocyte	LI_v_SI_GF_Macrophage
Abca16	-0.0629467185890807	-0.0627253217570219	-0.0624672103021433	-0.0623129118691305	0.221183186985209	0.0171829545015257
Abca17	-0.482948515021804	-0.144485709981347	-1.06615996797548	-0.878137307514941	-0.264389145379625	0.276316661816434
Abca2	-0.580526783562856	0.066934294622026	-0.408438341770977	-0.513873793908207	-0.494715699296983	-0.171143843961375
Abca3	-0.779587738985798	-0.757438646734084	-1.13295059122427	-1.40378782564842	-0.577581283905198	-0.677781801130661
Abca4	0.504997703160382	0.683005572103245	0.510900292555726	0.735947756810827	0.50315425367584	0.605171455202973
Abca5	0.413831806742774	-0.0842174412945289	-0.350468294720021	0.777778605091883	1.08036602338726	0.733039389560563
Abca6	-1.11852154072871	0.955489424067474	1.96809725840148	0.99010259475937	0.439647247981382	1.22444532989841
Abca7	-0.345265578506204	0.154849942614998	-0.225578546830467	0.187315374154183	-0.396067232199964	-0.321888291925395
Abca8a	1.68089166420133	1.51903454394095	0.145822733846508	0.89146360750986	0.974147219711318	0.997605744436247
Abca8b	1.94809741038083	1.62242732531586	1.99470402079744	1.81011199919307	1.54134735752189	1.4973870216561
Abca9	0.01173922605232	-0.0589235409013313	1.32512205211417	0.355503337421604	-0.140476848735126	0.0196999305697118
Abcb10	0.310802484680651	0.0740370539188523	-0.198550050684843	-1.091814100155	0.147526387061979	-0.447353990241808
Abcb11	-0.128338495405813	-0.128156853072042	-0.128011238588915	-0.127910432405529	-0.127899713608226	-0.0285849053387413
Abcb1a	0.278517456246604	1.24716950742499	-0.670666218784046	-0.144384824793637	0.660988642006935	0.338704610578101
Abcb1b	0.417525814447055	1.74703102710423	0.961781926780503	2.09831592496577	1.08542599429903	2.28969363807293
Abcb4	-0.315417298947358	-0.179333773518773	-0.239413998902951	-0.284820386655692	0.288861466007327	0.54017787475098
Abcb5	0.00623493646516054	-0.140887668664733	-0.0924479653589937	-0.140884644215463	-0.140795575897442	-0.0999973322019709
Abcb6	-0.352182260466543	-0.163617445367588	-0.547149382039363	-0.0807726257162204	0.272310204046951	-0.423747124742389
Abcb7	-0.364590181118614	-0.971048887754365	-0.417262446076754	-0.561048380955821	-0.245483604430181	-0.383696419515008
Abcb8	-0.464418524861876	-0.589952866302531	-0.0820828277962816	-0.458252842838076	-0.722270046624341	-0.310168788790597
Abcb9	-0.22386934440289	0.226848108236243	-0.00283815876326702	1.35037643653865	-0.355479609929719	0.536124400987454
Abcc1	-0.311202913914534	-0.295070851714138	0.520019811813115	0.73531213009572	0.523458275462417	1.1946543725082
