	SFB_v_GF_CD11b-CD103-	SFB_v_GF_CD11b-CD103+	SFB_v_GF_CD11b+CD103-	SFB_v_GF_CD11b+CD103+	SFB_v_GF_Monocyte	SFB_v_GF_Macrophage	SFB_v_GF_CCR6-ILC3	SFB_v_GF_CCR6+ILC3	SFB_v_GF_SCA+CCR6+ILC3	DKO_v_JAX_3day_CCR6-ILC3	DKO_v_JAX_3day_CCR6+ILC3	DKO_v_JAX_eday_SCA+CCR6+ILC3
Abcd3	-0.183715027248	0.024923416137	-0.277742088561	-0.308337311334	-0.666976892684	0.00176524485667	-0.10335606117	-1.08748350563	-0.916731618863	-0.817445748868	2.57472272978	0.434941389541
Abcd4	0.0590230436148	-0.105294257909	-0.240763285699	-0.299279055808	0.139282834008	-0.0966389173291	-0.451796608084	-1.37329180994	-0.718581540059	0.0897238168906	-1.2375166337	0.018271141392
Abce1	0.276125335833	0.217614926398	0.456096326589	0.357437989308	-0.0306599261568	0.460061839952	-0.39993214693	-0.266447711556	0.0272741084001	0.0266713583546	-0.724962324511	-0.161005623957
Abcf1	-0.209113251919	0.127021368035	0.146873349981	0.0607132183178	0.0528694308171	-0.209656766567	0.0282980069462	-0.357685925868	-0.170453746653	-0.271004145554	-0.508679423741	0.0926434722905
Abcf2	-0.029210631764	-0.0169075421991	-0.725238579392	-0.0120643132514	0.268287067717	0.047434379328	0.26039081645	-0.465609698787	0.172324406396	0.501680169357	-0.423454017745	0.0738184377332
Abcf3	-0.398867634402	0.218838277418	0.424896729346	-0.322395532157	-0.520964579743	-0.52140798306	-0.0632233953189	0.731770795021	-0.535041973157	0.202323562764	-0.263980258505	-0.366637854743
Abcg1	-0.554573482752	-0.884354990737	-0.779865231681	-1.33085668057	-0.308770513863	-0.621256279143	0.446028139081	1.22209801139	-0.0690683966651	-0.426055208891	0.269884931128	-0.399637338791
Abcg2	0.574733024412	0.548542132869	0.264944689866	-0.0302934091376	-0.448805706357	0.228890218151	0.487865850282	1.39277870986	-0.269441388087	0.39688894541	-0.761616928895	-0.306462304024
Abcg3	-0.557559727405	-0.231195469653	-0.532128489702	-0.333501103487	-0.292999013221	-0.376359939434	-0.412276193775	-1.19952079428	-0.190073922641	-0.694654275344	2.03281593801	-0.441320883978
Abcg4	0.853079084721	0.439668459057	0.499708286248	0.7182326359	0.597319984436	0.848520046742	-0.781127657397	0.00519139931625	0.724142884263	0.000918623037098	1.04787503496	0.0107477439455
