	Atf3	E2f4	E2f6	Egr1	Elf1	Elf2	Elk1	Fos	Gabpa	Irf1	Klf16	Klf4	Klf7	Mitf	Nfe2l2	Nfya	Nfyb	Nrf1	Setdb1	Sin3a	Smarcc2	Sp1	Sp2	Sp3	Sp4	Srf	Taf1	Tbp	Tfeb	Usf1	Zfp523
Casp2	0	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0
Cc2d1a	0	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	-0.25	-0.25	0	0	0	0	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	0	0	0
Ccdc22	-0.25	0	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	0	-0.25	-0.25	0
Ccdc69	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	-0.25	0	0	0	0
Ccdc80	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0
Ccdc84	0	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0
Ccdc96	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
Ccl4	0	0	0	0	0	-0.25	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd151	0	0	0	-0.25	-0.25	0	0	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0
Cd99l2	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25
Cdca2	0	-0.25	0	-0.25	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0
Cdk20	-0.25	0	0	-0.25	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	-0.25	-0.25	-0.25	0
Cecr5	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0
Celf3	0	0	0	0	0	0	0	-0.25	0	0	0	-0.25	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0
Cep97	0	0	0	-0.25	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.25
