	Atf3	Bcl6	E2f1	Egr1	Egr2	Fos	Jun	Klf4
Banp	0	0	0	0	0	0	0	0.5
Basp1	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
Batf3	0	0	0	0	0	0	0	0.5
Bbs12	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	0
Bc026585	0	0	0	0	0	0	0	0.5
Bc028528	0	0	0	-0.5	-0.5	-0.5	0	0
Bc029214	0	0	0	0	0	0	0	0.5
Bc030307	0	0	0	0	0	0	0	0.5
Bc030336	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	0
Bc053749	0	0	0	0	0	0	0	0.5
Bc068157	0	0	0	0	0	0	0	0.5
Bcar1	0	0	-0.5	0	0	-0.5	0	-0.5
Bcar3	0	0	-0.5	0	0	-0.5	-0.5	-0.5
Bccip	-0.5	0	-0.5	-0.5	0	-0.5	0	0
Bckdha	0	0	0	0	0	0	0	0.5
Bcl2l1	-0.5	0	-0.5	-0.5	0	0	-0.5	-0.5
Bcl2l11	-0.5	0	-0.5	-0.5	-0.5	0	0	-0.5
Bcl2l2	0	0	0	0	0	0	0	0.5
Bcl3	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	-0.5
Bcl6	0	0	0	0	0	0	0	0.5
Bco2	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5
Bcorl1	-0.5	0	-0.5	-0.5	0	-0.5	0	-0.5
Bcr	-0.5	0	0	-0.5	-0.5	-0.5	-0.5	-0.5
Bend3	-0.5	0	-0.5	-0.5	0	-0.5	0	0
Bhlhb9	0	0	0	0	0	0	0	0.5
Blzf1	-0.5	0	0	0	0	-0.5	0	-0.5
Bmf	0	0	0	0	0	0	0	0.5
Bmp2k	0	0	0	0	0	0	0	0.5
Bmpr1a	0	0	0	0	0	0	0	-0.5
Bpnt1	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	-0.5
Braf	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	0
Bspry	0	0	0	0	0	0	0	0.5
Bst2	0	0	0	0	0	0	0	0.5
Btaf1	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
Btbd16	0	0	0	0	0	0	0	0.5
Btbd19	0	0	0	0	0	0	0	0.5
Btbd2	0	0	0	0	0	0	0	0.5
Btbd7	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	0
Bzw1	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0
C030034i22rik	0	0	0	-0.5	0	0	0	-0.5
C030039l03rik	0	0	0	0	0	0	0	0.5
C130036l24rik	0	0	0	0	0	0	0	0.5
C130050o18rik	0	0	0	0	0	-0.5	-0.5	-0.5
C1qbp	0	0	0	0	0	0	0	0.5
C1qtnf1	0	0	0	-0.5	0	-0.5	-0.5	0
C1qtnf3	-0.5	0	0	-0.5	0	0	0	-0.5
C230091d08rik	0	0	0	0	0	-0.5	-0.5	0
C2cd2	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	0
C2cd3	0	0	0	0	0	0	0	0.5
C3	0	0	0	0	0	-0.5	-0.5	0
C78339	0	0	-0.5	0	0	-0.5	0	0
Cab39	-0.5	0	-0.5	-0.5	0	-0.5	-0.5	0
Cacna1d	0	0	0	-0.5	-0.5	-0.5	-0.5	0
Cacna2d2	0	0	0	0	0	0	0	0.5
Cacnb2	-0.5	0	-0.5	-0.5	0	0	0	0
Cacnb4	0	0	0	0	0	0	0	0.5
Cacybp	0	0	0	0	0	0	0	0.5
Cadm1	-0.5	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
Cadm3	0	0	0	-0.5	0	0	0	0
Cald1	-0.5	0	-0.5	0	0	0	0	-0.5
Caml	-0.5	0	-0.5	-0.5	0	0	0	0
Camsap1	-0.5	0	-0.5	-0.5	-0.5	0	0	-0.5
Cand1	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
