	Atf3	Egr1	Egr3	Fos	Fosb	Hic1	Irf1	Irf2	Irf7	Irf8	Jun	Jund	Klf4	Maz	Myc	Nfya	Stat1	Stat2	Zbtb7b
Abcc1	0	0	0	-0.5	-0.5	0	-0.5	0	0	0	0	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Abcd1	0.5	0.5	0	0.5	0	0	0.5	0	0	0.5	0	0	0.5	0.5	0	0	0.5	0.5	0.5
Abcd2	0	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
Abcg2	0.5	0.5	0.5	0.5	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0.5
Abcg3	0	0.5	0	0.5	0	0	0.5	0	0.5	0	0	0	0.5	0.5	0	0	0	0.5	0
Abhd11	0.5	0.5	0.5	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.5
Abhd14b	0.5	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5
Abhd15	0.5	0.5	0.5	0.5	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0.5
Abi3	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5
Abl1	0.5	0.5	0	0.5	0	0	0.5	0	0	0.5	0	0	0.5	0.5	0	0	0	0	0
Abtb2	0	-0.5	0	-0.5	-0.5	0	-0.5	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0
Acaa1a	0	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0	0	0	0	0	0	0	0.5	0	0
Acaa2	0.5	0.5	0.5	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.5
Acap3	-0.5	-0.5	-0.5	-0.5	0	-0.5	-0.5	0	0	0	0	-0.5	-0.5	0	-0.5	0	0	0	0
Acbd3	-0.5	-0.5	0	0	0	-0.5	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0	0	0	0	-0.5
Acbd6	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acer2	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	-0.5
Acot11	0	-0.5	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0
Acot2	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0
Acot8	0	0.5	0.5	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5
Acsbg1	0	-0.5	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0
Acsf3	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0
Acsl3	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	-0.5	0	0	0	0	0	-0.5
Acsl4	0	-0.5	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	-0.5	0	0	0	-0.5
Acss1	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Actn1	-0.5	-0.5	-0.5	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	-0.5	0	0	0	0	0	-0.5
Actr1b	0	-0.5	0	-0.5	-0.5	0	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Acvrl1	0	0.5	0	0	0	0	0.5	0	0.5	0.5	0	0	0.5	0.5	0	0	0	0.5	0.5
Adam11	-0.5	-0.5	0	-0.5	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	-0.5
Adam15	-0.5	0	0	-0.5	0	0	-0.5	0	0	0	-0.5	0	-0.5	0	0	0	0	0	0
Adam19	0.5	0.5	0	0	0	0	0.5	0	0.5	0.5	0	0	0.5	0.5	0	0	0.5	0.5	0
Adam23	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adam33	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adam8	0	-0.5	0	0	-0.5	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Adam9	0	-0.5	0	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Adamts2	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0
Adamts4	-0.5	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0
Adamts7	0	-0.5	0	-0.5	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0
Adamtsl4	0	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0.5
Adap1	0.5	0.5	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0	0.5	0.5	0.5
Adarb1	0	-0.5	0	0	0	0	-0.5	0	0	0	-0.5	-0.5	-0.5	0	0	0	0	0	-0.5
Adck1	0.5	0.5	0	0	0	0	0.5	0.5	0.5	0.5	0	0	0.5	0	0	0	0.5	0.5	0.5
Adipor2	0.5	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5
Adora2a	0	-0.5	0	-0.5	0	-0.5	-0.5	0	0	0	0	0	-0.5	0	-0.5	0	0	0	-0.5
Adora2b	-0.5	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	-0.5
Adpgk	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0
Adrb2	0	0.5	0	0.5	0	0	0.5	0	0	0.5	0	0	0	0.5	0	0	0	0.5	0.5
Adrbk1	0.5	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5
Adss	-0.5	-0.5	-0.5	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	0	0	0	0	-0.5
Adssl1	-0.5	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Aebp2	-0.5	-0.5	-0.5	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Aes	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0.5
Afap1	-0.5	-0.5	0	0	0	-0.5	-0.5	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0	-0.5
Afap1l2	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0
Aff1	-0.5	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Aff3	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	0	-0.5	-0.5	0	0	0	-0.5
