	Ctcf	E2f4	E2f6	Egr1	Elf1	Elf4	Fos	Ikzf1	Irf1	Irf3	Klf13	Klf4	Klf5	Klf7	Myc	Nfya	Nfyb	Nfyc	Nrf1	Pax5	Pbx3	Plagl1	Pou2f2	Rfx1	Rfx2	Rxra	Sp1	Sp2	Sp3	Sp4	Srf	Tbp	Zbtb7a	Zfp148
C230035i16rik	0.25	0.25	0	0.25	0	0	0	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0	0.25	0.25	0
C2cd2l	0.25	0.25	0.25	0.25	0	0	0	0	0.25	0.25	0	0.25	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Cabp4	0	-0.25	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.75	0	0	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Car13	0.25	0	0	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Car2	0	0	-0.25	-0.25	-0.25	0	0	0	0	0	0	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	0	-0.25	0	0	-0.25	0	0	0	0	-0.25	0	0
Car7	0.25	0	0.25	0.25	0	0	0	0	0.25	0.25	0	0.25	0.25	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0.25	0.25	0.25	0	0.25	0	0.25	0.25	0
Carkd	0.25	0	0	0.25	0	0	0	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0	0
Casz1	0	0.25	0.25	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0.25	0.25	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Cbr3	0.25	0.25	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0	0	0	0	0
Ccdc138	0.25	0.25	0.25	0	0	0	0	0	0.25	0.25	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Ccdc14	0	-0.25	0	-0.25	-0.25	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	0	0	0	0	-0.25	0	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Ccdc18	0	0	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.75	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Cchcr1	0.25	0.25	0.25	0.25	0	0	0.25	0	0.25	0	0.25	0.25	0.25	0.25	0	0.25	0.25	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Cd14	0	0	0.25	0.25	0	0	0.25	0	0	0.25	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Cd19	0.25	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0
Cd209a	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	-0.75	0	0	0	0	0	0	-0.25	0	-0.25	0	0	0	0	-0.25
Cd24a	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0.25	0.25	0.25	0	0.25	0	0	0	0
Cd38	0.25	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0
Cd6	0.25	0	0	0.25	0	0	0	0	0.25	0.25	0	0.25	0	0.25	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0.25	0	0.25	0.25	0	0	0	0
Cdc42ep3	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Cdc45	0	0	0	0.25	0	0	0.25	0	0.25	0.25	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0.25	0	0
Cdh1	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	0	0	0	0	-0.25	-0.75	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25
Cdhr2	0	0	0	-0.25	-0.25	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	0	0	0	-0.75	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Cdk5	0.25	0.25	0	0.25	0	0	0	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Cdkl3	0	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.75	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Cdkn2c	0.25	0.25	0.25	0.25	0	0	0	0	0.25	0.25	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Cebpe	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0.25	0	0
Cenpj	0	0	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	0	0	0	-0.25	-0.75	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0
Cenpn	0.25	0.25	0.25	0.25	0	0	0	0.25	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
