	Atf2	Atf3	Bclaf1	Creb1	Ctcf	E2f1	E2f4	E2f6	Egr1	Egr2	Egr3	Elf1	Elk1	Ets1	Etv6	Fos	Gabpa	Hey1	Hic1	Irf1	Jund	Klf13	Klf16	Klf4	Klf5	Klf7	Myc	Nfya	Nfyb	Nrf1	Pbx3	Pou2f1	Rest	Rfx5	Setdb1	Smarcc2	Sp1	Sp2	Sp3	Sp4	Srf	Taf1	Tbp	Zfp523
Aldob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amica1	0	0	0	0	0	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	-0.25	0	0	0	0	0	0
Ampd2	0	0	-0.25	0	-0.25	0	-0.25	0	-0.25	0	0	-0.25	0	-0.25	0	-0.25	-0.25	0	0	-0.25	0	0	-0.75	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0
Angptl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0
Ankrd28	0	0.25	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0.75	0.25	0.25	0.25	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0	0
Ankrd50	0	0.25	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0	0	0
Ankzf1	0	0.25	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0.25	0.25	0	0.25	0	0	0	0
Ano1	0	0.25	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0	0
Aoc2	0	0.25	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0
Apbb2	0	0	-0.25	0	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25	0	0	0	0	0	0	0	0	0	-0.25	0	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	0	0	0
