	Bach2	Bcl11b	Bcl6	Cebpg	Dmrta1	Egr2	Elf4	Eomes	Esr1	Esrra	Ets2	Foxc1	Foxj1	Foxm1	Foxo1	Glis3	Gtf3a	Irf4	Irf5	Irf7	Irf8	Jdp2	Klf12	Klf2	Klf5	Klf8	Lef1	Max	Mef2c	Mef2d	Meis3	Nr4a2	Pparg	Prdm1	Relb	Sox8	Stat3	Stat4	Stat5a	Stat5b	Tada2b	Tbx21	Tcf7	Trp53	Zbtb16	Zfhx3	Zfp287	Zfp553	Zfp57	Zfp606	Zfp646	Zfp768	Zfp827
Vopp1	2.0	0	0	0	0	0	1.0	0	0	0	0.5	1.0	0	0	1.0	0	1.0	3.5	3.5	7.0	7.0	1.0	0	0	0	0	0	0	0.5	1.0	0	0	0	1.0	0	0	2.0	2.0	2.0	2.0	0	0	0	0	0.5	0	1.0	1.0	0.5	1.0	1.0	1.0	1.0
Vps13a	0	0	0	0	0	0	-1.0	0	0	0	-2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0
Vps72	0	0	0	0	0	-2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vrk1	-2.0	0	0	0	-1.0	0	-1.0	-2.0	-1.0	-1.0	-0.5	0	-2.0	0	0	-3.0	-2.0	-0.5	-0.5	-1.0	-1.0	0	0	0	0	0	0	-1.0	-1.0	-2.0	0	0	-1.0	0	0	0	0	0	0	0	0	-2.0	0	0	-1.0	0	-2.0	-2.0	-1.0	-2.0	-2.0	-2.0	-2.0
Vwa5a	-2.0	-0.5	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	-1.5	-1.5	-3.0	-3.0	0	0	0	0	0	0	0	-0.5	-1.0	0	0	0	0	0	0	-1.0	-1.0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wbp1	0	0	0	0	0	-2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wbscr27	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdfy2	-1.0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	-1.5	-1.5	-3.0	-3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr11	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr12	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr19	0	0	0	-2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr27	0	-0.5	-1.0	0	0	-1.0	0	0	-1.0	-1.0	-2.0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	-1.0	0	-1.0	-1.0	-1.0	-1.0	0	0	0	0	-0.5	0	-1.0	-1.0	-0.5	-1.0	-1.0	-1.0	-1.0
Wdr43	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	3.5	7.0	7.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	2.0	2.0	2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr60	-3.0	0	0	0	0	0	0	0	-1.0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	-1.0	0	0	0	0	0	0	0
Wdyhv1	0	0	0	0	0	1.0	1.0	3.0	0	0	2.5	1.0	0	0	1.0	0	1.0	1.0	1.0	2.0	2.0	0	0	0	0	0	1.0	1.0	0.5	1.0	0	0	0	1.0	0	0	1.0	1.0	1.0	1.0	0	3.0	0.5	0	0.5	0	1.0	1.0	0.5	1.0	1.0	1.0	1.0
Wipf1	0	0.5	0	0	0	0	3.0	0	1.0	1.0	2.0	0	0	0	0	0	1.0	3.0	3.0	6.0	6.0	0	0	0	0	0	1.0	0	0	0	0	3.0	1.0	0	0	0	3.0	3.0	3.0	3.0	0	0	0.5	0	0.5	0	1.0	1.0	0.5	1.0	1.0	1.0	1.0
Wipf3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wls	0	0	0	0	0	0	-1.0	0	-1.0	-1.0	-1.5	0	0	0	0	0	0	-1.0	-1.0	-2.0	-2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wscd2	0	0.5	0	0	0	0	2.0	0	0	0	2.0	0	0	0	0	0	1.0	1.0	1.0	2.0	2.0	0	2.0	2.0	1.0	2.0	0	0	0.5	1.0	0	3.0	0.5	1.0	0	0.5	1.0	1.0	1.0	1.0	0	0	0	0	0.5	0	1.0	1.0	0.5	1.0	1.0	1.0	1.0
Wwc1	1.0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0.5	1.0	1.0	0	2.0	2.0	1.0	2.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wwc2	-2.0	0	-1.0	-2.0	0	-1.0	0	0	0	0	-2.0	0	-1.0	0	-3.0	0	-2.0	-2.0	-2.0	-4.0	-4.0	0	0	0	0	0	-2.0	-1.0	0	0	0	0	0	-1.0	-1.0	0	-1.0	-1.0	-1.0	-1.0	-1.0	0	-1.0	-2.0	-1.0	0	-2.0	-2.0	-1.0	-2.0	-2.0	-2.0	-2.0
