	Batf	Bcl3	Ebf1	Fosl2	Gata2	Hey1	Hivep1	Jdp2	Klf12	Klf5	Nfe2l2	Nfkb1	Nfkb2	Nr2f2	Nr4a3	Pparg	Prdm1	Rarg	Rel	Rela	Relb	Rest	Stat3	Tcf7l2	Zbtb7a	Zfp281
Abcb9	0	0	0.5	0.5	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0.5	0.5	0	0.5	0.5	0	0	0.5
Abcc1	0	1.5	0	0	0	0.5	0	0	0	0.5	1.0	1.5	0	0	0	0	0	0	1.5	1.5	0	0.5	0.5	0	0	0.5
Abhd13	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abhd2	0	0	0.5	1.5	0	0	0	0	0.5	0.5	0	0.5	0	0	0	0	1.0	0	0	0.5	0	0	0	0	0	0.5
Abhd3	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abhd5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0.5	0
Abi1	1.0	0	0	0	0	0.5	0	0	0	0	1.0	0.5	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0.5	0.5
Ablim3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
Abt1	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0
Abtb2	0	0.5	0	0.5	0	0.5	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0.5	0.5	0	0.5	0.5	0	0	0.5
Acbd3	0	0.5	0.5	0	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0.5
Acbd4	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0.5	0.5
Acer2	0	0	0	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0
Acot9	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0.5
Acss1	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0.5	0.5
Acta2	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0
Actg2	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
Acvr2a	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0.5
Adam22	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0.5	0
Adam23	1.0	0	0	1.5	1.0	0	0	1.0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	0	0	1.5	1.0	0	0
Adam8	0	0	0.5	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0	0.5
Adamts2	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adamts4	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0
Adamts6	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0.5
Adamts7	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
Adap2	0	0	0	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0	0
Adarb1	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0
Adck4	1.0	0.5	0.5	1.5	1.0	0.5	0	1.0	0.5	0.5	1.0	0.5	0	0	1.0	0	1.0	0	0.5	0.5	0	0.5	1.5	1.0	0	0
Adcy4	0	0	0.5	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5
Adcy9	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	1.5	0	0.5	0.5
Adm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0.5	0
Adora2a	0	0.5	0.5	0	0	0.5	0	0	0	0.5	0	1.5	0	0	0	0	1.0	0	0.5	0.5	0	0.5	1.5	1.0	0	0.5
Adora2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0.5
Adrbk2	0	0.5	0.5	0.5	0	0	0	0	0.5	0.5	0	1.5	0	0	0	1.0	0	0	0.5	1.5	0	0.5	0.5	0	0.5	0.5
Adss	0	0	0	0	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0.5
Adssl1	0	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0.5	0
Aebp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0.5	0
Aebp2	1.0	0	0.5	1.5	1.0	0.5	0	1.0	0	0.5	0	1.5	0	0	1.0	0	1.0	1.0	0.5	0.5	0	0.5	1.5	0	0.5	0.5
Afap1	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0.5
Afap1l1	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0
Afap1l2	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aff3	0	0	0	1.5	0	0	0	0	0	0.5	0	1.5	0	0	0	1.0	0	1.0	0	0.5	0	0.5	0.5	0	0.5	0.5
Agfg1	0	0	0	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0.5	0.5
Aggf1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0
Agk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0
Agpat4	0	0	0.5	0.5	0	0	0	0	0	0	0	0.5	0	1.0	1.0	1.0	0	1.0	0.5	0.5	0	0.5	0.5	0	0	0.5
Agpat9	0	0	0	1.5	1.0	0	0	0	0	0.5	0	0	0	0	0	0	1.0	0	0	0.5	0	0.5	1.5	0	0	0
Agrn	0	0	0	0	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0.5	0.5
Agt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
Ahctf1	0	0	0.5	0	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ahi1	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0.5	0.5
Ahnak	0	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0.5	0	0	0	0	0	0	0.5	0.5	0	0.5	0.5	0	0.5	0.5
Ai504432	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0.5
Ai607873	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0.5	0.5
Ai837181	0	0	0	0	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0.5
Aicda	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0.5	0	0	0.5	0	0.5	0
Aig1	1.0	0	0.5	1.5	0	0.5	1.0	0	0	0.5	0	1.5	0	0	0	0	0	0	0	1.5	0	0	0.5	0	0.5	0
Aim1	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0
Airn	1.0	0	0	1.5	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	1.5	0	0	0.5
Ak129341	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0
Akap1	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0
Akap12	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0
Akap13	0	0.5	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0	0	0.5	0.5	0	0.5	0.5	0	0.5	0.5
Akap2	0	0.5	0	0	0	0	0	0	0	0.5	1.0	0.5	0	0	0	0	0	0	0.5	0.5	0	0	0.5	0	0	0.5
Akap6	1.0	0	0	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0.5	0
Akirin1	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5
Akirin2	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0.5
Alas1	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0	0.5
Alcam	1.0	0	0.5	1.5	1.0	0	0	1.0	0.5	0.5	0	0.5	0	0	0	0	1.0	0	0	0.5	0	0.5	1.5	1.0	0	0.5
Aldh1a3	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	1.5	0	0	0.5
Aldh1l2	0	0	0	0	0	0.5	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
Aldh3b1	0	0.5	0.5	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0.5	0.5
Alg11	0	0	0	0	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0
Alpk2	0	0.5	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0	0.5
Alpl	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
