	Bach1	E2f3	Ets1	Fosl1	Hey1	Klf8	Prdm1	Stat3	Zbtb7a	Zfp263	Zfp523
Arhgap22	0.5	0	0	0	0	0.5	0	0.5	0.5	0.5	0
Arhgap23	0	0	0	0	0	0	0	0.5	0	0	0
Arhgap24	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0	0.5	0
Arhgap25	0	0	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0
Arhgap26	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0
Arhgap27	0	-0.5	0	0	0	0	0	-0.5	0	-0.5	0
Arhgap28	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0	0.5	0
Arhgap29	0	0	0	0	0.5	0.5	0	0.5	0	0	0
Arhgap30	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Arhgap32	0	0	-0.5	0	0	0	0	0	0	0	0
Arhgap39	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	0	0
Arhgap4	0	-0.5	0	0	0	0	0	0	0	0	0
Arhgap9	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0
Arhgef10l	0.5	0	0	0.5	0	0	0.5	0.5	0.5	0	0
Arhgef17	0	-0.5	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Arhgef26	0	0	0	0	0.5	0.5	0	0.5	0	0	0
Arhgef3	0	0	-0.5	0	0	-0.5	0	-0.5	0	-0.5	-0.5
Arhgef5	0	0	0	0	0	0	0	-0.5	0	0	0
Arid1a	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Arid3a	0	0.5	0	0	0	0.5	0.5	0.5	0	0.5	0
Arid3b	0	0	0	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Arid4a	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Arid4b	0	0	0	0	0.5	0	0.5	0.5	0	0.5	0
Arid5a	0	0	-0.5	0	0	-0.5	0	-0.5	0	-0.5	-0.5
Arih1	0	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0
Arl1	0	0.5	0	0	0.5	0	0	0	0	0.5	0
Arl10	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	-0.5
Arl11	0	0	-0.5	0	0	-0.5	0	0	0	0	0
Arl2bp	0	0.5	0	0	0	0	0	0	0	0	0
Arl5a	0	0	0	0	0.5	0.5	0	0.5	0.5	0.5	0
Arl8a	0	0	0	0	0.5	0.5	0	0.5	0.5	0.5	0
Arl8b	0.5	0	0	0.5	0.5	0.5	0	0.5	0	0.5	0
Arl9	0	0	0	0	0.5	0.5	0	0	0	0	0
Armc10	0	0	-0.5	0	0	0	0	0	0	0	0
Arntl	0	0.5	0	0	0.5	0	0.5	0.5	0	0.5	0
Arpc3	0	0	-0.5	0	0	0	0	0	-0.5	-0.5	0
Arpc4	0	0	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0
Arpp19	0.5	0.5	0	0	0.5	0	0	0	0.5	0.5	0
Arrb2	0	-0.5	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Arrdc1	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Asah2	0	0	0	0	0	0	0	0	0	-0.5	0
Asap2	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0
Asb2	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0
Asf1a	0.5	0.5	0	0	0.5	0.5	0.5	0	0.5	0.5	0
Asgr2	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0
Asnsd1	0	0	0	0	0	0	0	0	-0.5	0	0
Asph	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0
Aspm	0	0	0	0	0	0	0	0	-0.5	0	0
Asxl1	0.5	0	0	0.5	0	0	0.5	0.5	0.5	0	0
Atad2	0	-0.5	0	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Atat1	0	0.5	0	0	0.5	0.5	0	0.5	0.5	0.5	0
Atf3	0	-0.5	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	-0.5
Atf6b	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0
Atf7	0	-0.5	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Atg4d	0	0	0	0	0	0.5	0	0	0.5	0	0
Atic	0	0	-0.5	0	0	-0.5	0	0	0	-0.5	0
Atm	0	0	-0.5	0	0	0	0	0	0	0	0
Atp10d	0	0	-0.5	0	0	-0.5	0	0	0	-0.5	0
Atp13a2	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	0	0
Atp1a3	0	0	-0.5	0	0	-0.5	0	0	0	0	-0.5
Atp1b1	0	0	0	0	0.5	0	0	0	0	0	0
Atp1b3	0	0.5	0	0	0.5	0.5	0	0	0	0	0
Atp2b4	0	0	0	0	0	0	0	0.5	0	0.5	0
Atp5e	0	-0.5	-0.5	0	0	-0.5	0	-0.5	-0.5	0	0
Atp5g2	0	-0.5	0	0	0	0	0	0	-0.5	0	0
Atp5j2	0	-0.5	-0.5	0	0	0	0	-0.5	0	-0.5	-0.5
Atp6v0a2	0	0	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Atp6v1a	0.5	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0
Atp6v1b2	0	0.5	0	0	0.5	0.5	0.5	0.5	0	0	0
Atp6v1c1	0.5	0.5	0	0.5	0.5	0	0	0	0.5	0.5	0
Atp6v1h	0	0	0	0	0	0	0	0.5	0	0	0
Atp8b1	0	0	0	0.5	0	0	0.5	0.5	0	0.5	0
Atp8b4	0.5	0	0	0.5	0	0	0.5	0.5	0	0.5	0
Atxn7l1	0	-0.5	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Au019823	0	0	0	0	0.5	0	0.5	0	0	0	0
Au019990	0	0	-0.5	0	0	-0.5	0	-0.5	0	0	0
Au040320	0	0	0	0	0	0	0	-0.5	-0.5	-0.5	0
Aurkb	0	0	-0.5	0	0	-0.5	0	0	0	-0.5	0
Aw011738	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Aw112010	0	-0.5	-0.5	0	0	-0.5	0	-0.5	-0.5	0	0
B3gnt5	0.5	0	0	0	0	0.5	0	0.5	0.5	0	0
B3gntl1	0	0	0	0	0	-0.5	0	-0.5	0	-0.5	0
B430306n03rik	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0
B4galnt1	0	-0.5	-0.5	0	0	0	0	-0.5	-0.5	0	0
B4galt4	0	0	-0.5	0	0	0	0	0	0	-0.5	0
B4galt5	0.5	0	0	0.5	0.5	0.5	0	0.5	0	0.5	0
B9d2	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Bach1	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0	0.5	0
Bag5	0	0	0	0	0.5	0	0	0	0	0	0
Bahd1	0	0	0	0	1.5	1.5	0.5	0.5	0.5	1.5	0
Bank1	0	0	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0
Bard1	0	0	0	0	0	-0.5	0	0	0	-0.5	0
Barx2	0	0	0	0	0	0	0.5	0	0	0.5	0
Basp1	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0
Batf3	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	0	0
Baz1a	0	0.5	0	0	0.5	0	0	0.5	0	0.5	0
Bbc3	0	0	0	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Bbs10	0	0	0	0	0.5	0	0	0	0	0	0
Bbs5	0	0	0	0.5	0	0	0	0	0	0.5	0
Bc005537	0.5	0	0	0	0.5	0	0	0.5	0	0.5	0
Bc005561	0	0	0	0	0.5	0	0	0.5	0.5	0	0
Bc016579	0.5	0	0	0.5	0.5	0	0.5	0.5	0	0.5	0
Bc017643	0	0	-0.5	0	0	-0.5	0	0	0	-0.5	0
Bc020402	0	0	0	0	0.5	0.5	0	0.5	0	0	0
Bc027231	0	0.5	0	0	0	0	0	0.5	0	0.5	0
Bc029214	0	-0.5	0	0	0	-0.5	0	-0.5	0	0	0
Bc030336	0	0	0	0	0.5	0	0.5	0.5	0.5	0.5	0
Bc035044	0	-0.5	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Bc037034	0	0	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Bc052040	0	0	-0.5	0	0	0	0	-0.5	0	0	0
Bc064078	0	0	0	0	0	0	0	-0.5	0	0	0
Bcam	0	0	0	0	0.5	0.5	0	0	0.5	0.5	0
Bcar1	0	0	0	0	0	0.5	0.5	0	0	0.5	0
Bcar3	0	0	0	1.5	0	0	0	0.5	0	0.5	0
Bckdha	0	0	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Bcl11a	0	-0.5	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Bcl2	0	-0.5	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0
Bcl2l1	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0
Bcl2l11	0	0.5	0	0	0.5	0	0	0	0.5	0.5	0
Bcl2l14	0	0	-0.5	0	0	0	0	0	-0.5	-0.5	0
Bcl3	0	0.5	0	0	0.5	0.5	0	0.5	0.5	0.5	0
Bcl6b	0	0	0	0	0.5	0.5	0	0	0.5	0.5	0
Bcl7a	0	0	0	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Bcl9	0	-0.5	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Bcorl1	0	0.5	0	0	0	0.5	0	0.5	0.5	0.5	0
Bdp1	0	0.5	0	0	0.5	0.5	0	0.5	0	0.5	0
Bend3	0	0	0	0	0.5	0	0	0	0.5	0	0
Bend4	0	0.5	0	0	0.5	0.5	0	0.5	0.5	0.5	0
Bet1l	0	0	0	0	0	0	0	0	0.5	0	0
Bhlhe41	0	0	0	0	0.5	0.5	0	0.5	0	0	0
Bin3	0	-0.5	-0.5	0	0	0	0	-0.5	0	-0.5	0
Birc3	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0
Birc5	0	0	-0.5	0	0	-0.5	0	-0.5	0	0	-0.5
Bivm	0	0	-0.5	0	0	0	0	0	0	-0.5	0
Blcap	0	0	0	0.5	0	0	0	0	0	0	0
Blnk	0	0	0	0	0	0	0	0	0.5	0.5	0
Blzf1	0	0	0	0.5	0	0.5	0	0	0.5	0.5	0
Bmf	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Bmp1	0	0	0	0	0	0	0	0.5	0.5	0	0
Bmp2	0	-0.5	0	0	0	0	0	0	0	-0.5	0
Bmp6	0	0.5	0	0	0	0	0.5	0	0	0.5	0
Bmp8a	0	0	0	0	0	0.5	0	0.5	0.5	0.5	0
Bmyc	0	0	0	0	0	0	0	0	0	-0.5	0
Bnc2	0	0	0	0	0	0	0	0.5	0	0	0
