	Atf3	Bcl11a	Bcl6	Egr1	Egr2	Fos	Fosb	Jun	Klf4	Rreb1	Srf
Alcam	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Aldh18a1	0.5	0	0	0.5	0	0	0	0	0.5	0	0
Aldh1a2	0	0	0	0	0	0.5	0	0	0	0	0.5
Aldh2	0.5	0	0	0.5	0	0.5	0	0	0	0	0
Aldob	0.5	0	0	0	0	0.5	0	0	0	0	0
Alg6	0	0	0	0.5	0	0	0	0	0	0	0
Alg8	0	0	0	0.5	0	0	0	0	0	0	0
Alms1	0	0	0	0.5	0	0	0	0	0	0	0
Alox5ap	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Amica1	0	0	0	0.5	0	0.5	0	0	0	0	0
Ampd2	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0
Ampd3	0	0	0	0	0	0.5	0	0	0.5	0	0.5
Angpt2	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Ank	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Ank2	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Ank3	0	0	0	0	0	-0.5	0	0	0	0	0
Ankle1	0	0	0	0.5	0	0	0	0	0.5	0	0.5
Ankmy2	0	0	0	0.5	0	0	0	0	0.5	0	0.5
Ankrd11	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Ankrd24	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
Ankrd26	0	0	0	0.5	0	0	0	0	0	0	0
Ankrd27	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
Ankrd33b	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Ankrd50	0	0	0	0	0	-0.5	0	0	0	0	0
Anks1	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
Anln	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
Ano6	0.5	0	0	0.5	0	0	0	0	0.5	0	0.5
Anpep	0	0	0	0.5	0	0	0	0	0	0	0
Antxr1	0	0	0	0	0	-0.5	-0.5	0	0	0	0
Antxr2	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Anxa11	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Anxa2	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Anxa3	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Anxa4	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Ap3b1	0.5	0	0	0.5	0	0	0	0	0	0	0
Ap3d1	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0
Apaf1	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Aph1b	0	0	0	0.5	0	0	0	0	0.5	0	0
Aph1c	0	0	0	0	0	-0.5	-0.5	0	0	0	0
Aplp2	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Apobec1	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Apoe	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Apof	0	0	0	0	0	-0.5	0	0	0	0	0
App	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Appl1	0	0	0	0	0	-0.5	0	0	0	0	0
Aqp9	0	0	0	0.5	0	0.5	0	0	0	0	0.5
Arap1	0	0	0	0.5	0	0.5	0	0	0	0	0.5
Arc	0	0	0	0	0	-0.5	0	0	0	0	0
Arhgap10	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Arhgap19	0.5	0	0	0	0	0	0	0	0	0	0
Arhgap23	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Arhgap24	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Arhgap26	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Arhgap27	0.5	0	0	0.5	0	0	0	0	0	0	0
Arhgap31	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Arhgap32	0.5	0	0	0.5	0	0	0	0	0	0	0
Arhgap4	0	0	0	0.5	0	0.5	0	0	0	0	0
Arhgap9	0.5	0	0	0.5	0	0.5	0	0	0	0	0
Arhgef10l	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Arhgef15	0	0	0	0	0	-0.5	0	0	0	0	0
Arhgef2	0	0	0	0	0	-0.5	-0.5	0	0	0	0
Arhgef3	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0
Arhgef40	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Arhgef6	0	0	0	0.5	0	0	0	0	0	0	0.5
Arid1a	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
Arid2	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
Arid3b	0.5	0	0	0.5	1.0	0.5	0	0	1.5	1.0	0
Arid5a	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Arid5b	0	0	0	0	0	0	0	-0.5	0	0	0
Arl11	0	0	0	0	0	0	0	0	0.5	0	0
Arl2bp	0	0	0	0	0	-0.5	0	0	0	0	0
Arl4c	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Arl5c	0	0	0	0	0	0	0	-0.5	0	0	0
Armc8	0.5	0	0	0.5	0	0.5	0	0	0	0	0.5
Arntl	0	0	0	0	0	-0.5	0	0	0	0	0
Arrdc3	0.5	0	0	0.5	0	0	0	0	0.5	0	0
As3mt	0	0	0	0	0	0.5	0	0	0	0	0
Asah1	0.5	0	0	0.5	0	0.5	0	0	0	0	0
Asap2	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Asb2	0	0	0	0	0	0.5	0	0	0	0	0.5
Asb3	0	0	0	0.5	0	0	0	0	0	0	0.5
Asb7	0	0	0	0	0	-0.5	0	0	0	0	0
Asf1b	0	0	0	0.5	0	0.5	0	0	0	0	0.5
Ash1l	0	0	0	0	0	-0.5	0	0	0	0	0
Asnsd1	0	0	0	0.5	0	0	0	0	0	0	0
Aspm	0.5	0	0	0.5	0	0.5	0	0	0	0	0.5
Asxl1	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Atad2	0	0	0	0.5	0	0.5	0	0	0.5	0	0.5
Atf3	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
Atf6	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Atf6b	0.5	0	0	0.5	0	0.5	0	0	0	0	0
Atf7ip	0.5	0	0	0.5	0	0.5	0	0	0	0	0.5
Atg3	0.5	0	0	0.5	0	0.5	0	0	0	0	0
Atg7	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
Atic	0.5	0	0	0.5	0	0	0	0	0.5	0	0
Atm	0	0	0	0.5	0	0.5	0	0	0	0	0
Atp10a	0	0	0	0	0	0	0	-0.5	0	0	0
Atp13a3	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Atp1a1	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Atp1a3	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
Atp2a3	0	0	0	0.5	0	0.5	0	0	0.5	0	0
Atp2b1	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Atp2b4	0	0	0	0	0	0	0	-0.5	0	0	0
Atp8b1	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Atrnl1	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Atxn1	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Auh	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Aurka	0.5	0	0	0.5	0	0.5	0	0	0	0	0
Aurkb	0	0	0	0.5	0	0.5	0	0	0.5	0	0.5
Auts2	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Aw011738	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
Aw112010	0	0	0	0	0	-0.5	0	0	0	0	0
Axl	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
B230217c12rik	0	0	1.0	0.5	0	0.5	0	0	0.5	0	0
B3gnt8	0	0	0	0	0	-0.5	0	-0.5	0	0	0
B430306n03rik	0	0	0	0.5	0	0	0	0	0	0	0
B4galt5	0	0	0	0	0	-0.5	0	0	0	0	0
B4galt6	0	0	0	0	0	-0.5	0	-0.5	0	0	0
B630005n14rik	0	0	0	0.5	0	0	0	0	0.5	0	0.5
B930003m22rik	0.5	0	0	0.5	0	0.5	0	0	0	0	0.5
B9d2	0	0	0	0	0	-0.5	0	0	0	0	0
Bach1	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Bahd1	0	0	0	-1.0	0	-0.5	0	-0.5	0	0	0
Banp	0.5	0	0	0.5	1.0	0.5	0	0	1.5	0	0.5
Basp1	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Batf	0	0	0	0	0	0	0	-0.5	0	0	0
Batf3	0.5	0	0	0.5	1.0	0.5	0	0	0.5	1.0	0
Baz2b	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Bbc3	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
Bbx	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Bc004004	0.5	0	0	0.5	0	0	0	0	0	0	0.5
Bc018507	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Bc037034	0	0	0	0	0	0	0	0	0.5	0	0.5
Bc052040	0	0	0	0.5	0	0	0	0	0	0	0
Bc053749	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
Bc055324	0	0	0	0.5	0	0	0	0	0	0	0
Bcar1	0	0	0	0	0	-0.5	0	0	0	0	0
Bcl11a	0.5	0	0	0.5	0	0.5	0	0	0	0	0.5
Bcl2	0.5	0	0	0.5	0	0.5	0	0	0	0	0.5
Bcl2l1	0	0	0	0	0	0	0	-0.5	0	0	0
Bcl2l14	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Bcl2l15	0	0	0	0	0	-0.5	-0.5	0	0	0	0
Bcl3	0	0	0	0	0	-0.5	0	0	0	0	0
Bcl6	0.5	0	0	0	0	0	0	0	1.5	0	0.5
Bcl6b	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Bcl9l	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Bco2	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Bcr	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Bean1	0	0	0	0	0	0	0	-0.5	0	0	0
Bend3	0	0	0	0	0	-0.5	0	0	0	0	0
